,name,discription
115,                    antioxidant                ,"General term for a large group of natural and synthetic ingredients that work to defend against environmental stress on skin. For much more information on antioxidants and how they work, click here."
116,                    apple fruit extract                ,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically. There is more research concerning the health benefits of eating apples rather than applying them topically via skincare products, but we know that apples have many valuable components that could benefit skin (Sources: Plant Physiology & Biochemistry, September 2014, pages 169-188; and Journal of Medicinal Food, November 2012, pages 1,024-1,031).References for this information:Plant Physiology & Biochemistry, September 2014, volume 82, pages 169-188Journal of Medicinal Food, November 2012, issue 11, pages 1024-1031"
117,                    apricot kernel                ,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and sometimes sharp edges that can scratch or tear at skin. These types of scrubs are not recommended over a cotton washcloth or scrubs that contain rounded jojoba or polyethylene (plastic) beads."
118,                    apricot kernel oil                ,"Emollient plant oil pressed from the seeds of apricots, and similar to other non-fragrant plant oils in terms of its emollient, skin-smoothing, and antioxidant benefit."
119,                    arachidic acid                ,Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
120,                    arachidyl alcohol                ,Waxy substance used as a thickening agent and emollient in cosmetics.
121,                    arachidyl glucoside                ,"A mild surfactant (cleansing) and emulsifying agent, made from the condensation of arachidyl alcohol and glucose."
122,                    arachidyl propionate                ,Waxy substance used as a thickening agent and emollient in cosmetics.
123,                    Arachis hypogaea extract                ,Extract of the plant commonly known as the peanut. It can have emollient and skin-soothing properties for skin.
124,                    arbutin                ,"Arbutin may be made synthetically or derived from bearberry (uva-ursi) plant or other plants and exhibits antioxidant activity. Most notably, arbutin has an increasing amount of research attesting to its effectiveness for brightening an uneven skin tone. Research has shown the synthetic version, chemically known as deoxyarbutin, is more effective for brightening than the natural derivative.Because arbutin works by breaking down into hydroquinone, it also has merit for improving the appearance of dark spots due to unprotected sun exposure or bodily changes such as can occur during pregnancy or due to other factors. It can be considered an alternative to hydroquinone for those whose skin may be unable to tolerate this lightening ingredient in much the same way that some people’s skin can tolerate cosmetic retinol but not retinoids from the pharmacy.References for this information:Phytochemistry Letters, September 2015, issue 13, pages 35-40BMC Biochemistry, October 2014, pages 15-23Dermatologica Sinica, July 2014, pages 205-210Applied Microbiol Biotechnology, 2012, pages 1417–1425Archives of Pharmacal Research, March 2009, pages 1308-1309Experimental Dermatology, August 2005, pages 601-608"
